"Molecule","logFC","logCPM","F","PValue","FDR"
"hsa_piR_014629",3.95590214902304,1.68828531111607,5.8045004304436,0.0170726763102902,0.112801611335846
"hsa_piR_014123",4.00823120368987,1.66399202631599,4.779735089789,0.0301880440548627,0.124323492470279
"hsa-miR-1323",4.03319523446933,1.70947246652279,5.07718379903817,0.025544147803664,0.124307358085252
"hsa_piR_022373",4.03651966975129,1.5343030144797,4.47990247487232,0.0437932196899983,0.145540340885922
"hsa-miR-4259",4.0903335860427,1.65213736263689,4.70861333591643,0.0314248784957309,0.124323492470279
"hsa_piR_005348",4.132700983643,1.73876481063134,4.66646290133247,0.0321829826875761,0.124323492470279
"hsa_piR_001101",4.15605717071521,1.77612100428806,4.86538927976188,0.0287661491356421,0.124307358085252
"hsa_piR_010756",4.1575813327072,1.73089084867794,4.75581689965973,0.0305981689235829,0.124323492470279
"hsa-miR-1470",4.1990553218705,1.71970270240936,4.70359625957108,0.0315141190383042,0.124323492470279
"hsa-miR-3614-5p",4.21049581752224,1.82753289574245,5.3972326999478,0.0213743619645761,0.123855439541332
"hsa_piR_013203",4.22097803681271,1.7682486061753,4.9142064831164,0.0279874331994395,0.124307358085252
"hsa_piR_020518",4.22261468116863,1.75618327131885,4.85756505357591,0.0288930616090045,0.124307358085252
"hsa_piR_019615",4.22957147683177,1.7751518571366,4.86909984078809,0.0287061671971173,0.124307358085252
"hsa_piR_002852",4.24503259851355,1.76807696192938,5.100211323424,0.0252174138165235,0.123855439541332
"hsa_piR_004032",4.26741519850598,1.80483961061435,5.03289796470945,0.0261850590505269,0.124307358085252
"hsa-miR-3187-3p",4.27722629306581,1.87170170507608,6.38425216926722,0.0124434457924826,0.0983236938858268
"hsa_piR_022437",4.29547330661774,1.83348921671571,5.45157397161774,0.0207403119509969,0.123772829384982
"hsa_piR_001520",4.30479631450488,1.7790561075684,4.76963868667472,0.0303604566547696,0.124323492470279
"hsa_piR_003972",4.35711293766392,1.83374224319275,4.88714867956569,0.0284162738918863,0.124307358085252
"hsa-miR-6777-5p",4.36323977936724,1.8539043191668,5.28757259390104,0.0227163923842033,0.123855439541332
"hsa_piR_012856",4.38438774240575,1.81938655292163,4.87368948516849,0.0286321565780392,0.124307358085252
"hsa_piR_009903",4.40341353769647,1.83725612909343,5.11882860251857,0.0249564612968028,0.123855439541332
"hsa-miR-501-3p",4.42819936153452,1.96072614051335,6.63048089944379,0.0108919993982191,0.0983236938858268
"hsa-miR-1303",4.44287305866993,1.94887092960868,6.29105390531301,0.0130890046013925,0.0983236938858268
"hsa-miR-204-5p",4.44437676971352,1.92853598546406,5.87364125903972,0.0164371766996932,0.109911241787105
"hsa-miR-374b-3p",4.46225746592777,1.97546180651697,6.41671493202956,0.0122264234739938,0.0983236938858268
"hsa_piR_008921",4.48777278997702,1.83468448843015,4.94144210574435,0.0275626369642865,0.124307358085252
"hsa_piR_000907",4.50067182527187,1.92472387144515,4.69317778527522,0.031700290174587,0.124323492470279
"hsa-miR-21-3p",4.50956311755088,2.00793166102451,6.61475681835076,0.0109848034790399,0.0983236938858268
"hsa_piR_003091",4.56332979614627,1.98659668470422,5.72245300831027,0.0178601690810543,0.113935561379139
"hsa-miR-30d-3p",4.56738948357901,2.02568656226489,6.99793085852569,0.00893962668614646,0.0983236938858268
"hsa_piR_016745",4.5898695807754,2.03940720618167,6.1823479157156,0.0138861547659947,0.101405472304303
"hsa-miR-3675-3p",4.59896064704524,1.96816297701313,4.93803603906583,0.0276153889882963,0.124307358085252
"hsa-miR-3126-3p",4.64390682531911,2.01476368652787,5.14295634973779,0.0246224760196653,0.123855439541332
"hsa-miR-369-3p",4.69505209899414,2.10408152997016,5.90344831974698,0.016170857399087,0.109787980673128
"hsa-miR-3605-3p",4.69998157792864,2.11484673112783,7.10528576255495,0.00844047357894886,0.0983236938858268
"hsa-miR-20a-3p",4.79185082780671,2.17092538475368,7.24176487858407,0.00784720448422532,0.0967991597727677
"hsa_piR_014385",4.86688176232946,2.17775656736137,4.76632228676972,0.0304173155094087,0.124323492470279
"hsa_piR_011108",4.91606510005914,2.21574312115292,6.31500543249261,0.0129198477945209,0.0983236938858268
"hsa-miR-10a-3p",4.91901698676511,2.24856805295538,6.70385887925286,0.0104695425457338,0.0983236938858268
"hsa-miR-154-3p",4.93622145520452,2.26633026835066,6.63514530493079,0.0108646264947917,0.0983236938858268
"hsa-miR-651-5p",5.00251351182118,2.3138599548733,7.61602937349776,0.00643139010008554,0.087059061110914
"hsa-miR-27a-5p",5.09842539443623,2.37027381148598,6.96344853719179,0.00910635562066477,0.0983236938858268
"hsa_piR_019824",5.12459096452843,2.38738512237968,8.38234847824703,0.00429568520955938,0.0710652969425085
"hsa-miR-138-5p",5.13218566599699,2.38540332112477,6.56317014952181,0.0112950679908506,0.0983236938858268
"hsa-miR-141-3p",5.15914754939321,2.38329270162179,6.00722123657997,0.0152781913879146,0.108710207952469
"hsa_piR_020635",5.20629678996066,2.38370518361,5.27080045275623,0.0229293017318684,0.123855439541332
"hsa-miR-548l",5.21158929870356,2.45599140912327,8.47400307264564,0.00409457537837317,0.0710652969425085
"hsa_piR_018375",5.26943139891014,2.36539171983168,5.10821814324978,0.0251048358031917,0.123855439541332
"hsa_piR_009540",5.31011933818302,2.46909433284965,6.34953826763702,0.0126799467705892,0.0983236938858268
"hsa-miR-299-3p",5.31276946085871,2.52032311805815,7.24143613423423,0.0078485805221163,0.0967991597727677
"hsa_piR_001170",5.31882949834533,2.51135837344962,6.50799411671278,0.0116369954180436,0.0983236938858268
"hsa-miR-194-5p",5.32088803979561,2.5095067787945,6.73417262380327,0.0103000078473003,0.0983236938858268
"hsa-miR-106a-5p",5.40020054306566,2.58555937829886,8.7282732579241,0.00358581245734193,0.0710652969425085
"hsa-miR-383-3p",5.49682724653585,2.62303850843315,6.85288572266179,0.00966298413049346,0.0983236938858268
"hsa-miR-205-5p",5.50306890285396,2.59429903853879,5.66845673537541,0.0183990167027013,0.114735441235946
"hsa-miR-196b-5p",5.56721362569231,2.70650182254089,9.44208380903177,0.00247705816464899,0.0528756646684689
"hsa_piR_019305",5.59727835280478,2.68225504331617,6.39374919458074,0.0123795449545507,0.0983236938858268
"hsa-miR-657",5.69493924988127,2.77522979006063,5.18575201264425,0.024041556568504,0.123855439541332
"hsa-miR-517b-3p",5.74788663756241,2.82721381416168,8.30726529438261,0.00446799357942415,0.0710652969425085
"hsa-miR-519d-5p",5.75007454074814,2.81758258734241,6.82473365673886,0.00981026395205727,0.0983236938858268
"hsa_piR_011188",5.89609055171599,2.94339132342924,9.81350656889047,0.00204622814050974,0.0473190257492878
"hsa-miR-497-5p",5.93866417282414,2.97792729897675,9.92760789189272,0.00192993142767523,0.0465700844504239
"hsa-miR-518b",5.95924055398666,2.98170263292173,6.73926417422717,0.0102718126520835,0.0983236938858268
"hsa-miR-222-5p",5.99822021327349,3.02996006377287,10.4992960763797,0.00144132569900183,0.0410253299895517
"hsa-miR-584-5p",6.05145457509364,3.07538935248498,10.5917607095242,0.00137511727091551,0.0410253299895517
"hsa_piR_001043",6.19488959291509,3.14715943045107,6.6374125257989,0.0108513471485075,0.0983236938858268
"hsa-miR-338-3p",6.25545630879443,3.23846452979846,10.3549800960534,0.00155125154419813,0.0410253299895517
"hsa-miR-34c-5p",6.27087574404048,3.24161411414475,6.9514534858948,0.00916510559532888,0.0983236938858268
"hsa-miR-363-5p",6.30768068627922,3.08077763921943,4.97452872883353,0.0270556766963767,0.124307358085252
"hsa_piR_001356",6.38017672435379,3.33287890082948,10.6827240309004,0.00131301860024926,0.0410253299895517
"hsa-miR-381-3p",6.39582218260914,3.35115142577952,10.7828412727801,0.001247979213647,0.0410253299895517
"hsa-miR-449a",6.50941703385408,3.44110539812678,6.76216985677111,0.0101459545425763,0.0983236938858268
"hsa-miR-379-5p",6.51146913945625,3.45093314282472,10.2891668789059,0.00160419630441818,0.0410253299895517
"hsa_piR_015988",6.55295345493627,3.46800090141956,7.92177666630124,0.00547163707125976,0.07949936377486
"hsa-miR-4484",6.59096680014168,3.50157245510764,7.89545849194344,0.00554811095394976,0.07949936377486
"hsa-miR-487b-3p",6.65505858204407,3.5702404108914,10.42103047583,0.001499913300433,0.0410253299895517
"hsa_piR_018570",6.83978912906499,3.72677145039447,14.0064486561924,0.000250284655988292,0.0347269960183755
"hsa_piR_007351",6.87635764960706,3.75443303528624,5.1721796968447,0.0242242192227811,0.123855439541332
"hsa-miR-520f-5p",7.19033944407153,4.02840838761522,10.5719928674133,0.00138900530715338,0.0410253299895517
"hsa_piR_023391",7.48604589969879,4.2997778096399,8.45991608986802,0.00412484391190647,0.0710652969425085
"hsa_piR_011291",8.17423238377897,4.9425592316538,10.6023828735741,0.00136771337639373,0.0410253299895517
"hsa_piR_011459",9.34582987631607,6.07430141672962,13.1356991431191,0.000384287434926775,0.0410253299895517
