"","lfq_SW.exo.17.9.21.121.90min","lfq_SW.exo.17.9.21.122.90min","lfq_SW.exo.23.9.21.123.90min","lfq_SW.exo.23.9.21.126.90min","lfq_SW.exo.23.9.21.129.90min","lfq_SW.exo.23.9.21.130.90min","lfq_SW.exo.24.9.21.132.90min","lfq_SW.exo.24.9.21.133.90min","lfq_SW.exo.25.9.21.136.90min","lfq_SW.exo.25.9.21.137.90min","lfq_SW.exo.25.9.21.138.90min","lfq_SW.exo.25.9.21.140.90min","lfq_SW.exo.25.9.21.141.90min","lfq_SW.exo.27.9.21.143.90min","lfq_SW.exo.17.9.21.119.90min","lfq_SW.exo.27.9.21.144.90min","lfq_SW.exo.27.9.21.145.90min","lfq_SW.exo.27.9.21.146.90min","lfq_SW.exo.27.9.21.147.90min","lfq_SW.exo.17.9.21.120.90min","lfq_SW.exo.27.9.21.149.90min","lfq_SW.exo.23.8.21.6.90min","lfq_SW.exo.24.8.21.7.90min","lfq_SW.exo.25.8.21.11.90min","lfq_SW.exo.24.8.21.16.90min","lfq_SW.exo.25.8.21.18.90min","lfq_SW.exo.25.8.21.19.90min","lfq_SW.exo.26.8.21.22.90min","lfq_SW.exo.5.9.21.53.90min","lfq_SW.exo.5.9.21.56.90min","lfq_SW.exo.10.9.21.84.90min","lfq_SW.2.2.19.RPA.1.2pt5","lfq_SW.2.2.19.RPA.3.2pt5","lfq_SW.2.2.19.RPA.5.2pt5","lfq_SW.2.2.19.RPA.11.2pt5","lfq_SW.2.2.19.RPA.16.2pt5","lfq_SW.2.2.19.RPA.17.2pt5","lfq_SW.27.1.19.RPA.21.5ul","lfq_SW.31.1.19.1718.26.2pt5","lfq_SW.1.2.19.1718.30.2pt5","lfq_SharonW.16.7.20.1.1718.031XK.90min","lfq_SW.1.2.19.1718.32.2pt5","lfq_SharonW.16.7.20.2.1718.034MC.90min","lfq_SW.26.1.19.1718.038.2pt5","lfq_SW.27.1.19.1718.038.5ul","lfq_SW.26.1.19.1718.040.2pt5","lfq_SW.27.1.19.1718.040.5ul","lfq_SW.26.1.19.1718.043.2pt5","lfq_SW.26.1.19.1718.044.2pt5","lfq_SharonW.16.7.20.5.1718.047AJ.90min","lfq_SharonW.16.7.20.6.1718.048LW.90min","lfq_SharonW.16.7.20.7.1718.049CS.90min","lfq_SharonW.9.7.20.11.1718.053AT.480.90min","lfq_SharonW.14.7.20.14.1718.056SB.90min","lfq_SharonW.14.7.20.17.1719.064WC.90min","lfq_SW.exo.11.9.21.90.90min","lfq_SW.2.2.19.RPA.19.2pt5","lfq_SW.2.2.19.RPA.2.2pt5","lfq_SW.2.2.19.RPA.7.2pt5","lfq_SW.2.2.19.RPA.9.2pt5","lfq_SharonW.26.7.20.32.90min.115CS.5.6.12","lfq_SharonW.24.7.20.25.161HM.9.12.14.90min","lfq_SharonW.22.7.20.16.162HN.13.11.18.90min","lfq_SharonW.21.7.20.4.170OK.11.5.17.90min","lfq_SW.25.1.19.183EH.2pt5","lfq_SW.27.1.19.183EH.5ul","lfq_SharonW.24.7.20.22.198WS.20.3.18.90min"
"ANXA2",17.7533259112689,17.7658256830503,15.3236194476622,15.0496810484132,15.2733920931309,15.8501304539292,15.5247542092348,15.2653947014198,15.8501304539292,16.3631596536464,15.4190442792225,17.4177503164221,18.0260176706601,18.0386418376922,17.7214157679258,15.3299608435169,17.7214157679258,15.4972117181179,17.5973863334388,15.4462199670471,16.4797659753416,14.0398862132672,15.7258341059857,15.3662898442062,15.5656554819054,16.4797659753416,15.5802023518311,16.5610386916449,17.5246565264704,17.3644479426872,15.7881215628116,16.1654191078628,16.0695410799628,16.1368161232218,20.2093031459713,16.228434606146,15.8043697509087,16.2347135804018,15.9767024570774,15.8662881379188,19.3275554962177,16.0560899986318,18.3834975732208,15.7036599064438,14.8968558252467,15.3354345804427,15.7317073138249,15.855902689996,15.9695529583652,16.6282955854027,18.2190065870772,18.7605724447384,17.5188861665701,16.8352274093339,16.5582086409511,14.6634611246461,16.7080255357608,16.0193752622348,15.6997079181016,16.6927070589194,15.8043697509087,16.1462355872679,15.9058221987639,14.730656359001,16.2112523225984,15.855902689996,15.6822924673141
"ANXA3",15.5533795199265,15.9631724876201,15.9631724876201,16.6776308598665,15.6629023428126,16.6960326029072,15.8225164004765,16.4088402251183,16.5608731878587,16.569267278721,15.6777359783656,16.5325510968758,16.5608731878587,18.3725876115508,15.979892909573,15.9557115736581,16.1441789913011,16.3828201412899,16.7430831159191,15.5083705751514,16.8870220676838,16.6321713270139,16.9326992165868,16.3429171757356,15.7018298638566,16.8168139787276,17.0412294620782,16.9219047253147,16.2531381774851,16.4088402251183,15.9387983846398,17.2726211323411,17.0931158566931,18.1048429789539,16.9333935372541,15.5972035055278,14.8918250675003,15.842241315435,16.6618835010349,15.3003661345789,16.0847132682353,15.9754566509044,15.8252957144741,15.7000940692988,15.6928816063915,15.5333376071995,15.6900570906851,15.7980971523153,16.1017701873753,17.4955497672762,17.2648484906536,17.8216953057888,15.8920141421515,16.0545163246013,16.7120854510872,15.0454923431736,16.2339121198485,18.5411099409689,15.3386201879427,16.9233639257731,16.8509017675088,17.3042472173085,17.7332101446562,14.4182280008586,16.1907510127757,16.0545163246013,17.0521777497005
"ANXA4",15.5283716190964,15.4597818727193,14.7817079966735,15.0523879093511,15.1202856211474,15.0720198965202,14.8862056080787,14.761027556158,15.4597818727193,15.4972574363469,15.0523879093511,15.6084862828111,15.4846148078362,15.9900955057552,15.7235023634069,14.880818943103,16.0275468623303,15.100665365679,15.3699212115043,14.8147155867872,15.1148497875486,15.1785232424398,15.2770595597624,15.0120685849088,14.9107127309374,15.3496051743652,15.0794394043444,15.3640863205642,15.7695177221339,15.9129725926428,14.8743412162236,15.2956981342313,14.7673080816035,15.095800184433,15.7513515874224,15.5059309253063,14.8644623450671,15.3534260951736,15.095800184433,15.2044583767697,15.3894757626917,15.1381005193743,15.1526751753907,14.7431128480365,14.878919750869,14.5722190390907,14.7203659298358,15.173178847518,15.4455336292392,15.3808152496706,15.4964287481232,17.1096716124495,15.3022772497508,15.1131620856607,15.0004674624912,15.0989966959169,15.3778825115695,15.5849479922914,15.4699613721035,15.4861798722205,15.2218686101526,15.5691416151102,15.3986496215829,14.8258263829876,15.6044356824514,15.2429324198393,14.9848473998443
"ANXA5",16.2699175468073,16.405606971426,17.5848348068657,16.3811778526513,16.7487716432719,16.2279418810664,16.9464548331524,17.9872589286913,16.3391168219708,16.3223288005167,16.8339211445888,16.2436778207357,16.2740960575566,16.3856308130851,16.3223288005167,16.8108862579941,16.4541993097425,16.0524457931829,16.1613789659899,16.8984513270727,16.2740960575566,16.4586269568311,16.5776216020925,16.3938283377224,16.3811778526513,16.3550220491995,16.3259205435339,16.3856308130851,16.4300414226476,16.3938283377224,16.8591577671088,16.5201643217183,15.9971334958348,16.3739620118528,16.6171943795978,16.5621272213287,16.2853034261391,16.3654799153352,16.3697318192442,16.3181781943252,16.5035526473582,16.3423325190751,17.1752621562649,16.3264194181047,16.3227669709505,16.2890983753245,16.2633041484617,16.3791620018349,16.4474117104621,16.6027235577807,16.6513444491152,16.7045356095977,16.6694872201285,16.2129349510567,16.594053364067,16.9320992024751,16.4059471592134,16.8877853936387,16.5743834277795,16.5849125230938,16.7149825315763,17.6454919162444,16.3348620636866,15.5776572322525,16.4435842566637,16.3791620018349,17.0601757246717
"APMAP",16.5734995029997,16.6600545505634,15.5874405101638,16.1309951882369,16.0788501488093,16.1721213450125,16.0594499124528,16.1130716200957,16.2900213709694,16.4908651966538,15.9763743236275,16.7000815504081,16.525219999095,16.782399801985,16.6449754500632,15.96040560632,16.5933127356156,16.2422571833867,16.4990244706507,15.9174387530756,16.3256399476535,16.0503301536462,16.3085632289984,15.2812136354712,16.0378337023154,16.1050671467534,16.1507500229695,16.525219999095,16.6855101358434,16.6496938549164,16.1232231681438,16.261512892397,16.1401104507623,16.3293207906312,15.8508185908605,16.4675288806518,16.4059841191855,16.5785131883723,16.3449062144202,16.414138281975,16.1435388338448,16.521547360035,15.7265300620779,16.5122893271221,16.4464279574825,16.3050012747215,16.3449062144202,16.5832427704575,16.4899735400776,16.2238984534851,16.2084954169908,16.243589634357,16.0522768930829,16.1324878275716,16.1358977192106,15.8470524322465,16.4860559946172,16.2358007636073,16.3866061908206,16.3992957340377,16.3793497522825,16.8206229765706,16.1286464998972,16.0793367399617,16.4949534036713,16.5733967350507,15.0489433906106
"APOA1",24.7237519614179,24.8944615446972,24.7237519614179,25.1023961637498,24.8944615446972,25.4196801235344,24.3660399359074,24.7237519614179,25.1023961637498,25.9179900477811,24.5257525325984,26.2063150333431,24.8944615446972,24.5257525325984,24.5257525325984,25.6545868045929,25.1023961637498,25.4196801235344,24.1517996321142,25.1023961637498,24.7237519614179,25.6545868045929,25.6545868045929,25.4196801235344,24.3660399359074,23.8103324699059,25.6545868045929,25.9179900477811,25.6545868045929,25.4196801235344,24.5257525325984,24.9910375379837,24.8705281932526,25.6798029535698,24.6403619991771,25.3799769348053,24.6403619991771,25.5517494154093,25.5517494154093,25.3799769348053,24.6403619991771,25.5517494154093,23.5131209406166,25.2504645917918,25.1061971629379,24.6403619991771,24.5311476925428,25.3799769348053,25.3799769348053,24.3137719798086,24.5311476925428,23.7946601659872,24.5311476925428,24.2271984153567,24.8705281932526,25.2504645917918,25.3799769348053,24.748080570347,24.5311476925428,25.2504645917918,25.1061971629379,25.6798029535698,24.748080570347,24.8705281932526,25.3799769348053,25.5517494154093,23.7946601659872
"APOA2",20.6739825941311,20.3719794244283,22.7812023575557,22.684501898393,23.5488424464648,21.8320434508725,23.4027343268603,21.8320434508725,21.3112664428134,22.0197277784389,23.0113814683015,21.9291440275491,21.1291424881917,20.620498419427,21.8320434508725,22.4731610873023,22.2650849452877,22.4731610873023,21.2522764805616,23.5488424464648,22.8845044912303,23.0113814683015,23.0113814683015,23.1438836109031,22.5722093456131,23.1438836109031,24.15673172922,22.684501898393,21.8320434508725,21.4602505348754,21.8320434508725,22.2949042792814,21.3783922191819,21.2518935479131,21.9650432104612,21.3783922191819,21.9147484899421,22.082534953217,22.6373745319657,23.3302175028283,22.6373745319657,21.8639099635637,20.7262867323079,23.6147217726348,23.1417750124955,22.7724340897632,22.8851929193678,22.082534953217,22.3406086252896,21.6135828041789,21.096083094709,20.4599892904343,22.1809922229923,21.9650432104612,21.774758499428,24.0586770155459,21.2895874672032,22.4815907134421,20.8869931578563,21.8209876497117,22.6801891913603,23.2013255588377,21.5658143649927,22.5753005899285,22.7724340897632,22.4815907134421,20.28798392467
"APOA4",21.2885199368178,20.0308638403235,17.3611320162827,19.7302707774365,20.0308638403235,20.0308638403235,21.2885199368178,21.4780569713878,21.2885199368178,21.6769534738276,19.4418874275026,21.1200539505418,18.2035644044969,19.357466769167,19.357466769167,19.4418874275026,20.1652538907993,19.8914517545924,18.6746627792154,18.9265417855853,20.8356196691292,20.2506957775964,19.8914517545924,17.7865550328154,19.8914517545924,21.0369911347853,20.0308638403235,19.1531361064355,19.2131107224551,18.8077949540427,19.0211380050102,19.2051837603436,18.4324539002032,17.5026426589011,19.0506265536406,16.780279395917,20.9931477714495,20.0384717835295,20.4840510747611,21.7702855024984,19.7579655949236,21.4588531710826,16.0198342158098,21.0938479600438,21.0938479600438,21.1353853307165,21.0938479600438,19.9125141988153,20.3628582496313,20.8183436506146,20.5550553228903,17.9501962587058,19.2051837603436,20.1517852103831,19.1842670549776,19.6188365425982,18.1829192485577,19.2051837603436,18.8391955053916,19.598234508492,21.0473022455933,19.8756227820986,20.3628582496313,19.8120515581319,20.1517852103831,19.7821369779027,19.7310928455558
"APOB",25.3825850960791,25.5652071800869,23.9270656606209,25.5652071800869,23.9270656606209,24.9529112021804,24.0828203907715,25.1376137439892,24.7471658640179,25.5652071800869,24.582932286369,24.582932286369,26.2245657017848,25.1376137439892,25.3825850960791,25.9868045341906,25.3825850960791,24.2364419949535,25.3825850960791,25.5652071800869,24.7471658640179,26.587361493467,25.3825850960791,25.3825850960791,25.7916080343247,25.9868045341906,25.3825850960791,25.9868045341906,25.3825850960791,25.5652071800869,25.3825850960791,25.734479631986,25.734479631986,25.4893211755653,25.0437611081297,25.3286545907245,25.4893211755653,25.3286545907245,25.3286545907245,25.1967509862644,25.4893211755653,25.1967509862644,24.6300034509084,26.1195129375787,26.1195129375787,26.1195129375787,25.9159869460345,26.5749391582801,25.4893211755653,24.7548157863461,24.0420415032746,23.6438716407384,25.9159869460345,24.9203546374644,25.1967509862644,23.8297754395171,25.1967509862644,26.5749391582801,24.7548157863461,25.0437611081297,25.4893211755653,25.734479631986,25.1967509862644,25.0437611081297,25.3286545907245,25.0437611081297,24.3799910141931
"APOC1",24.9191860334287,24.7432425673526,25.5544313506891,25.1373072493462,24.3292821496646,24.9191860334287,25.1373072493462,25.325365276057,22.8119822227569,25.1373072493462,19.9908327979994,24.1310610630858,25.1373072493462,22.5686268508092,24.3292821496646,25.5544313506891,24.507229989738,24.9191860334287,24.1310610630858,26.162738630751,24.9191860334287,25.325365276057,23.6390147247738,24.1310610630858,25.9039594453507,24.9191860334287,21.9422004013274,24.3292821496646,25.9039594453507,23.8072557550198,26.162738630751,25.6884006330992,25.4006009539447,23.5653376058231,24.982622557558,23.1498518275282,24.8421723347699,25.1087081028163,24.4935312339125,25.4006009539447,26.0983654929623,23.9864312232177,21.9612964181439,26.0983654929623,26.0983654929623,25.8507061767251,26.0983654929623,26.4873265207966,23.9075345512887,24.7300597456048,21.7269217720077,22.8486230740083,24.8421723347699,23.645608240826,24.4935312339125,23.645608240826,22.06698652948,26.2817243619389,23.8159164889397,23.645608240826,23.9864312232177,24.1742314254366,25.1087081028163,25.5551514808294,23.8159164889397,23.8159164889397,22.1704337184245
